Comunidad Autonoma,Periodo,Actividad,Censo,Criminalidad,GastoHogares,GastoProteccionAmbiental,Hipotecas,IngresosMedios,IPC,TipoVivienda,IPV,NumHabitaciones,NumHogares,PIB,Emisiones GEI,Precio del suelo
01 Andalucía,2023,56.9,8584147.0,11092.5,29913.16,30083672.0,628948.0,11719.0,114.121,Vivienda nueva,109.46,7 o más habitaciones,108.65,2.349,13418.0,152.32
01 Andalucía,2022,56.4,8511167.0,82489.0,29509.58,202387520.0,840384.0,10703.0,110.492,Vivienda nueva,159.054,7 o más habitaciones,108.65,4.53,38903.0,162.6
01 Andalucía,2022,56.4,8511167.0,82489.0,29509.58,202387520.0,840384.0,10703.0,110.492,Vivienda segunda mano,134.1,7 o más habitaciones,108.65,4.53,38903.0,162.6
01 Andalucía,2021,56.0,8484804.0,79458.0,26965.44,126588589.0,904519.0,9915.0,104.067,Vivienda nueva,145.031,7 o más habitaciones,108.65,5.94,35416.0,172.37
01 Andalucía,2021,56.0,8484804.0,79458.0,26965.44,126588589.0,904519.0,9915.0,104.067,Vivienda segunda mano,123.31,7 o más habitaciones,108.65,5.94,35416.0,172.37
01 Andalucía,2020,56.3,2058278.0,589.0,24279.43,119882250.0,591944.0,999.0,97.53,Vivienda nueva,136.025,Menos de 3 habitaciones,35.7,-11.097,33955.0,145.47
01 Andalucía,2020,56.3,2058278.0,589.0,24279.43,119882250.0,591944.0,999.0,97.53,Vivienda nueva,136.025,Entre 3 y 6 habitaciones,2633.8,-11.097,33955.0,145.47
01 Andalucía,2020,56.3,2058278.0,589.0,24279.43,119882250.0,591944.0,999.0,97.53,Vivienda nueva,136.025,7 o más habitaciones,588.2,-11.097,33955.0,145.47
01 Andalucía,2020,56.3,2058278.0,589.0,24279.43,119882250.0,591944.0,999.0,97.53,Vivienda segunda mano,118.184,Menos de 3 habitaciones,35.7,-11.097,33955.0,145.47
01 Andalucía,2020,56.3,2058278.0,589.0,24279.43,119882250.0,591944.0,999.0,97.53,Vivienda segunda mano,118.184,Entre 3 y 6 habitaciones,2633.8,-11.097,33955.0,145.47
